ligand_SMILES,ligand=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,ligand=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,ligand=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,ligand=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,ligand=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,ligand=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,ligand=P(C1=CC=CO1)(C2=CC=CO2)C3=CC=CO3,ligand=CP(C1=CC=CC=C1)C2=CC=CC=C2,ligand=CC(OC1=C(P(C2CCCCC2)C3CCCCC3)C(OC(C)C)=CC=C1)C,ligand=FC(F)(F)C1=CC(P(C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1,ligand=C[C@]1(O2)O[C@](C[C@]2(C)P3C4=CC=CC=C4)(C)O[C@]3(C)C1,ligand=CP(C)C1=CC=CC=C1
CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,1,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,0,1,0,0,0,0,0,0,0,0,0,0
CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,0,0,1,0,0,0,0,0,0,0,0,0
P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,0,0,0,1,0,0,0,0,0,0,0,0
P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,0,0,0,0,1,0,0,0,0,0,0,0
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,0,0,0,0,0,1,0,0,0,0,0,0
P(C1=CC=CO1)(C2=CC=CO2)C3=CC=CO3,0,0,0,0,0,0,1,0,0,0,0,0
CP(C1=CC=CC=C1)C2=CC=CC=C2,0,0,0,0,0,0,0,1,0,0,0,0
CC(OC1=C(P(C2CCCCC2)C3CCCCC3)C(OC(C)C)=CC=C1)C,0,0,0,0,0,0,0,0,1,0,0,0
FC(F)(F)C1=CC(P(C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1,0,0,0,0,0,0,0,0,0,1,0,0
C[C@]1(O2)O[C@](C[C@]2(C)P3C4=CC=CC=C4)(C)O[C@]3(C)C1,0,0,0,0,0,0,0,0,0,0,1,0
CP(C)C1=CC=CC=C1,0,0,0,0,0,0,0,0,0,0,0,1
