additive_SMILES,additive=o1cc(cn1)c2ccccc2,additive=o1nccc1c2ccccc2,additive=o1ccc(n1)c2ccccc2,additive=CCOC(=O)c1onc(C)c1,additive=Cc1ccon1,additive=CCOC(=O)c1cc(C)on1,additive=Cc1oncc1,additive=CCOC(=O)c1ccon1,additive=o1cc2ccccc2n1,additive=CCOC(=O)c1cnoc1C,additive=Cc1onc(C)c1,additive=CCOC(=O)c1conc1,additive=COC(=O)c1oncc1,additive=o1ncc2ccccc12,additive=Fc1cccc(F)c1c2oncc2,additive=Cc1cc(on1)c2ccccc2,additive=C(N(Cc1ccccc1)c2oncc2)c3ccccc3,additive=C(N(Cc1ccccc1)c2ccon2)c3ccccc3,additive=Cc1onc(c1)n2cccc2,additive=COC(=O)c1cc(on1)c2occc2,additive=COC(=O)c1cc(on1)c2sccc2,additive=CCOC(=O)c1onc(OC)c1
o1cc(cn1)c2ccccc2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1nccc1c2ccccc2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1ccc(n1)c2ccccc2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)c1onc(C)c1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccon1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)c1cc(C)on1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1oncc1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)c1ccon1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o1cc2ccccc2n1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)c1cnoc1C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cc1onc(C)c1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CCOC(=O)c1conc1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COC(=O)c1oncc1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
o1ncc2ccccc12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fc1cccc(F)c1c2oncc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cc1cc(on1)c2ccccc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C(N(Cc1ccccc1)c2oncc2)c3ccccc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C(N(Cc1ccccc1)c2ccon2)c3ccccc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cc1onc(c1)n2cccc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COC(=O)c1cc(on1)c2occc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
COC(=O)c1cc(on1)c2sccc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CCOC(=O)c1onc(OC)c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
