Entry,tres_min,ratio,Conc,Temp,E-factor,STY,yield_pc
1,1.45,2.04,0.165,60.5,5.15,370,23.9
2,1.24,2.43,0.361,64.8,2.06,2080,53
3,0.81,4.59,0.484,71.6,1.94,6690,82.8
4,0.69,1.97,0.141,74.7,7.07,500,17.9
5,1.49,3.31,0.194,79.4,2.03,1140,64.3
6,1.04,1.27,0.334,80.7,1.89,1790,40.9
7,1.96,3.19,0.229,84.2,1.37,1280,80.7
8,0.98,4.05,0.456,88.8,1.44,5780,91.6
9,1.66,4.75,0.214,92.2,1.76,1580,90.4
10,1.74,3.43,0.425,97.1,1.08,3190,96
11,1.27,1.73,0.111,103.9,1.98,540,45.5
12,1.58,1.44,0.264,105.1,0.75,1620,71.5
13,0.59,3.7,0.388,111.6,1.35,7910,89.2
14,1.17,3.84,0.4,115.2,1.23,4500,96.6
15,0.74,4.37,0.248,116.3,1.61,4100,90.1
16,1.82,2.73,0.134,122.6,1,870,86.5
17,1.92,4.96,0.313,124.8,1.68,2130,96.2
18,0.88,1.12,0.295,132,0.63,3130,68.9
19,1.35,2.91,0.357,134.5,0.86,3480,96.9
20,0.53,2.28,0.465,139.4,0.72,10780,90.7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
